ID,Province/Cities,Home or abroad,Status,Main Classification,Applicant
329,Guangdong,Mainland of China,valid,C07C231,广州医科大学附属第一医院
330,Guangdong,Mainland of China,valid,C07J71,广州医科大学附属第一医院
331,Guangdong,Mainland of China,valid,A61K 31,广州呼吸健康研究院
332,Guangdong,Mainland of China,In Review,A61K31,广州医科大学附属第一医院
333,Guangdong,Mainland of China,In Review,A61K31,广州医科大学附属第一医院
334,Guangdong,Mainland of China,In Review,A61K31,广州医科大学附属第一医院
335,Guangdong,Mainland of China,valid,A61K31,广州医科大学附属第一医院
336,Beijing,Mainland of China,valid,A61K31,中国科学院微生物研究所
337,Beijing,Mainland of China,valid,A61K31,中国科学院微生物研究所
338,Guangdong,Mainland of China,valid,A61K31,南方医科大学
339,Guangdong,Mainland of China,In Review,A61K31,南方医科大学
340,Guangdong,Mainland of China,In Review,A61K31,南方医科大学
341,Guangdong,Mainland of China,In Review,A61K31,南方医科大学
342,Guangdong,Mainland of China,In Review,C07D209,南方医科大学
343,Tianjin,Mainland of China,In Review,C07D251,南开大学
344,Beijing,Mainland of China,In Review,C07D215,中国医学科学院药物研究所
345,Beijing,Mainland of China,In Review,C07D 263,中国医学科学院药物研究所
346,Beijing,Mainland of China,In Review,C07D209,中国医学科学院药物研究所
347,Beijing,Mainland of China,valid,C07D277,中国医学科学院医药生物技术研究所
348,Shanghai,Mainland of China,In Review,A61K33,中国科学院上海巴斯德研究所
349,Jiangsu,Mainland of China,In Review,C07D487,江苏恒瑞医药股份有限公司
350,Sichuan,Mainland of China,In Review,C07D401,四川科伦博泰生物医药股份有限公司
351,Sichuan,Mainland of China,In Review,C07F9,四川科伦博泰生物医药股份有限公司
352,Shandong,Mainland of China,valid,A61K31,鲁南制药集团股份有限公司
353,Shandong,Mainland of China,valid,A61K31,山东新时代药业有限公司
354,Shanghai,Mainland of China,In Review,A61K31,中国科学院上海巴斯德研究所
355,Shanghai,Mainland of China,In Review,A61K31,复旦大学
356,Guangdong,Mainland of China,valid,A61K31,佛山市金骏康健康科技有限公司
357,Guangdong,Mainland of China,In Review,C07H17,佛山市金骏康健康科技有限公司
358,Hongkong,China Special Administrative Region,In Review,A61K31,香港浸会大学
361,Jiangsu,Mainland of China,In Review,C07D471,银杏树药业（苏州）有限公司
362,Jiangsu,Mainland of China,In Review,C07D 471,银杏树药业（苏州）有限公司
363,Guangdong,Mainland of China,valid,A61K31,暨南大学
364,Guangdong,Mainland of China,valid,A61K31,广州暨南生物医药研究开发基地有限公司
365,Guangdong,Mainland of China,valid,A61K31,暨南大学
366,Guangdong,Mainland of China,valid,A61K31,暨南大学
367,Guangdong,Mainland of China,valid,A61K31,暨南大学
369,Guangdong,Mainland of China,In Review,A61K31,南方医科大学
370,Shandong,Mainland of China,In Review,A61K31,山东中医药大学
371,Xinjiang,Mainland of China,valid,A61K31,新疆维吾尔自治区药物研究所
372,Xinjiang,Mainland of China,In Review,A61K31,新疆医科大学第一附属医院
373,Xinjiang,Mainland of China,In Review,C07C67,中国科学院新疆理化技术研究所
374,Shandong,Mainland of China,In Review,C07C 47,中国海洋大学
375,Shandong,Mainland of China,valid,A61K31,中国海洋大学
376,Shandong,Mainland of China,valid,A61K31,中国海洋大学
377,Beijing,Mainland of China,valid,A61K31,中国人民解放军疾病预防控制所
378,Beijing,Mainland of China,valid,A61K31,中国人民解放军疾病预防控制所
379,Beijing,Mainland of China,valid,A61K31,中国医学科学院医药生物技术研究所
380,Guangdong,Mainland of China,In Review,A61K31,中山大学
381,Guangdong,Mainland of China,In Review,A61K31,中山大学
383,Shanghai,Mainland of China,valid,C07D417,上海海和药物研究开发有限公司
384,Jiangsu,Mainland of China,valid,A61K31,贾晓斌
385,Beijing,Mainland of China,valid,A61K31,樊向德
386,Sichuan,Mainland of China,valid,C07J71,薛永新
387,Guangdong,Mainland of China,invalid,C07C69,暨南大学
390,Guangdong,Mainland of China,invalid,A61K31,广州白云山医药集团股份有限公司白云山制药总厂
391,Shandong,Mainland of China,invalid,C07D277,山东大学
392,Shandong,Mainland of China,invalid,A61K31,青岛大学
393,Shanghai,Mainland of China,invalid,C07H17,复旦大学
394,Liaoning,Mainland of China,invalid,C07D209,沈阳药科大学
396,Hubei,Mainland of China,invalid,A61K31,武汉大学
397,Hubei,Mainland of China,invalid,A61K31,武汉大学
398,Jilin,Mainland of China,invalid,A61K31,东北师范大学
399,Fujian,Mainland of China,invalid,A61K31,福州大学
400,Fujian,Mainland of China,invalid,A61K31,福州大学
401,Fujian,Mainland of China,invalid,A61K31,福州大学
402,Guangxi,Mainland of China,invalid,A61K31,桂林医学院
403,Guangxi,Mainland of China,invalid,A61K31,桂林医学院
404,Guangxi,Mainland of China,invalid,A61K31,桂林医学院
405,Guangxi,Mainland of China,invalid,A61K31,桂林医学院
406,Shanghai,Mainland of China,invalid,C07D231,中国科学院上海药物研究所
407,Guangdong,Mainland of China,invalid,C07H19,广州市恒诺康医药科技有限公司
408,Jilin,Mainland of China,invalid,A61K31,吉林大学
409,Shanghai,Mainland of China,invalid,A61K31,上海第二医科大学附属仁济医院
410,Shanghai,Mainland of China,In Review,C07K19,复旦大学
411,Sichuan,Mainland of China,valid,C07K19,成都正能生物技术有限责任公司
412,Guangdong,Mainland of China,valid,A61K38,深圳科兴生物工程股份有限公司
413,Beijing,Mainland of China,In Review,C07K14,中国人民解放军军事医学科学院微生物流行病研究所
414,Sichuan,Mainland of China,valid,A61K38,魏光文
416,Beijing,Mainland of China,In Review,A61K38,北京三元基因药业股份有限公司
